index,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,selling_price,sale_date
1337,2012,infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap1cm810500,ca,38.0,31239.0,black,black,nissan infiniti lt,18700.0,19000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1338,2012,honda,Civic,LX,Coupe,automatic,2hgfg3b54ch527833,ca,25.0,25315.0,white,gray,ahfc/honda lease trust/hvt  inc. eot,11250.0,10900.0,Tue Dec 30 2014 15:00:00 GMT-0800 (PST)
1339,2012,honda,Accord,SE,Sedan,automatic,1hgcp2f67ca075519,ca,43.0,38065.0,silver,black,ahfc/honda lease trust/hvt  inc. eot,12850.0,14600.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
1340,2012,mercedes-benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb2ca599921,ca,42.0,24090.0,white,black,mercedes-benz financial services,22500.0,23000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1341,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6cm936458,ca,43.0,26216.0,white,black,nissan infiniti lt,22200.0,22750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1342,2012,mini,Cooper Clubman,Base,Hatchback,automatic,wmwzf3c5xct188993,ca,38.0,41170.0,silver,black,bmw mini financial services,12350.0,14250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1343,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap7cm931902,ca,36.0,28549.0,blue,beige,nissan infiniti lt,21900.0,21250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1344,2012,mini,Cooper Clubman,Base,Hatchback,automatic,wmwzf3c59ct189374,ca,36.0,36963.0,white,black,bmw mini financial services,12600.0,14500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1345,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c54ct543907,ca,31.0,15090.0,white,black,bmw mini financial services,15200.0,14000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1346,2012,kia,Forte,EX,Sedan,automatic,knafu4a25c5582848,ca,39.0,40324.0,white,gray,jpmorgan chase bank n.a.,9300.0,10000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
1347,2012,jaguar,XJ,Base,Sedan,automatic,sajwa2gb4clv25237,ca,45.0,12912.0,black,beige,jpmorgan chase bank n.a.,47000.0,49000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1348,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c57ct257016,ca,37.0,23278.0,red,black,bmw mini financial services,14550.0,13000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1349,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxcm623350,ca,44.0,31557.0,gray,beige,nissan infiniti lt,21700.0,23000.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
1350,2012,mercedes-benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb8ca568532,ca,4.0,34837.0,black,black,mercedes-benz financial services,28000.0,27500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1351,2012,jeep,Liberty,Sport,SUV,automatic,1c4pjlak9cw151871,ca,29.0,33667.0,gray,gray,toyota scion of downtown la,12550.0,12750.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
1352,2012,lexus,IS 250,Base,Sedan,automatic,jthbf5c28c5159629,ca,27.0,45140.0,silver,black,lexus financial services,21300.0,18500.0,Wed Jan 07 2015 13:00:00 GMT-0800 (PST)
1353,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c53ct258129,ca,42.0,54588.0,white,black,bmw mini financial services,12050.0,13000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1354,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8cm624688,ca,43.0,27289.0,blue,black,nissan infiniti lt,22100.0,22500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1355,2012,land rover,LR4,Base,SUV,automatic,salag2d45ca597047,ca,36.2,28289.0,blue,gray,land rover redwood city,42200.0,43500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
1356,2012,mini,Cooper Countryman,Base,Wagon,automatic,wmwzb3c57cwm04986,ca,37.0,37322.0,green,black,avis corporation,16100.0,16200.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1357,2012,jaguar,XK,XKR,Convertible,automatic,sajwa4ec4cmb47263,ca,42.0,16234.0,silver,black,jpmorgan chase bank n.a.,53500.0,53000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1358,2012,lexus,IS 250,Base,Sedan,automatic,jthbf5c2xc5165951,ca,19.0,97900.0,white,black,lexus financial services,19750.0,11400.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
1359,2012,infiniti,QX,QX56,SUV,automatic,jn8az2nf9c9517627,ca,42.0,74806.0,gray,black,dutton motor co,36500.0,34250.0,Tue Dec 30 2014 12:30:00 GMT-0800 (PST)
1360,2012,lexus,RX 350,Base,SUV,automatic,2t2zk1ba0cc067913,ca,36.0,47516.0,gray,gray,bell lexus,25900.0,22500.0,Tue Jan 20 2015 04:30:00 GMT-0800 (PST)
1361,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0cm629805,ca,35.0,21927.0,gray,gray,nissan infiniti lt,22600.0,21000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1362,2012,infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek4cm424146,ca,41.0,31584.0,black,black,nissan infiniti lt,21600.0,22250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1363,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c52ct256713,ca,38.0,32031.0,red,black,bmw mini financial services,13850.0,14000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1364,2012,lexus,CT 200h,Premium,Hatchback,automatic,jthkd5bh6c2094275,ca,45.0,31349.0,white,brown,desert auto trade,20600.0,24250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1365,2012,jeep,Wrangler,Unlimited Sport,SUV,automatic,1c4hjwdg9cl227569,ca,38.0,39702.0,red,black,avis corporation,24900.0,25000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1366,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c59ct256336,ca,3.0,45476.0,red,gray,bmw mini financial services,12500.0,12000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
1367,2012,mazda,Mazda6,i Touring,Sedan,automatic,1yvhz8dh4c5m35208,ca,36.0,47221.0,gray,beige,exeter finance corp,10550.0,9500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
1368,2012,lincoln,MKZ,Base,Sedan,automatic,3lnhl2gc3cr814701,ca,4.0,34103.0,gray,black,galpin ford studio rentals,14650.0,13750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1369,2012,lexus,RX 350,Base,SUV,automatic,2t2zk1ba0cc077423,ca,43.0,83857.0,white,beige,high bid trading co inc,24300.0,22000.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
1370,2012,kia,Sorento,LX,SUV,automatic,5xykt3a13cg279841,ca,48.0,81598.0,silver,black,kia motors finance,11150.0,11900.0,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
1371,2012,mini,Cooper Clubman,S,Hatchback,manual,wmwzg3c51cty32037,ca,4.0,17524.0,gray,brown,bmw mini financial services,18150.0,19000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1372,2012,lincoln,Navigator,Base,SUV,automatic,5lmjj2j53cel03507,ca,41.0,33220.0,black,black,ford motor credit company llc pd,32200.0,32000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
1373,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c57ct254519,ca,4.0,39841.0,gray,black,bmw mini financial services,13200.0,13500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1374,2012,jaguar,XJ,XJL Supercharged,Sedan,automatic,sajwa2ge4cmv26361,ca,33.0,20861.0,black,black,jpmorgan chase bank n.a.,50600.0,50000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1375,2012,lexus,RX 350,Base,SUV,automatic,2t2bk1ba5cc146110,ca,43.0,33323.0,off-white,beige,century dealer services corp,30000.0,31500.0,Wed Dec 17 2014 12:15:00 GMT-0800 (PST)
1376,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5cm930375,ca,42.0,33382.0,blue,black,nissan infiniti lt,21400.0,22500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1377,2012,kia,Forte,SX,Hatchback,automatic,knafw5a33c5593985,ca,24.0,87145.0,black,black,kia motors finance,8500.0,7000.0,Tue Jan 13 2015 12:30:00 GMT-0800 (PST)
1378,2012,kia,Sportage,EX,SUV,automatic,kndpc3a21c7247742,ca,38.0,41879.0,blue,gray,i auto sales inc,16000.0,16500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
1379,2012,mazda,Mazda6,i Grand Touring,Sedan,automatic,1yvhz8ch9c5m09768,ca,41.0,33290.0,white,beige,jpmorgan chase bank n.a.,14800.0,15500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1380,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c59ct259088,ca,42.0,16106.0,brown,gray,bmw mini financial services,15100.0,15750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1381,2012,lincoln,Navigator,Base,SUV,automatic,5lmjj2j57cel00156,ca,44.0,12897.0,black,black,ford motor credit company llc pd,35100.0,34000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
1382,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c5xct256359,ca,39.0,18978.0,gray,black,bmw mini financial services,14900.0,15000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1383,2012,jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjeag0cc116413,ca,44.0,71702.0,black,black,fiserv/usb dealer services northstar exchange,16250.0,18250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1384,2012,lexus,RX 350,Base,SUV,automatic,2t2zk1ba5cc069236,ca,42.0,35965.0,gray,gray,lease remarketing services inc,27400.0,27500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
1385,2012,mini,Cooper,Base,Hatchback,manual,wmwsu3c51ct184970,ca,38.0,32427.0,red,black,bmw mini financial services,13800.0,13750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1386,2012,jeep,Wrangler,Unlimited Sport,SUV,automatic,1c4bjwdg4cl192882,ca,33.0,58226.0,white,black,the hertz corporation,23100.0,21800.0,Thu Dec 18 2014 11:30:00 GMT-0800 (PST)
1387,2012,lexus,IS 250,Base,Sedan,automatic,jthbf5c25c5169633,ca,22.0,49618.0,gray,black,lexus financial services,21300.0,18800.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
1388,2012,jaguar,XJ,Base,Sedan,automatic,sajwa1cb8clv28495,ca,42.0,10743.0,silver,black,desert auto trade,41000.0,40750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1389,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c55ct256804,ca,39.0,26366.0,white,gray,bmw mini financial services,14300.0,14000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1390,2012,jaguar,XK,XKR,Convertible,automatic,sajwa4ec0cmb46109,ca,38.0,14806.0,gray,black,jpmorgan chase bank n.a.,53800.0,53500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1391,2012,infiniti,G Sedan,G37x,G Sedan,automatic,jn1cv6ar1cm673846,ca,29.0,54252.0,gray,black,the hertz corporation,17800.0,17300.0,Thu Feb 19 2015 11:30:00 GMT-0800 (PST)
1392,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap8cm620642,ca,34.0,33849.0,black,black,nissan infiniti lt,21300.0,20000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1393,2012,mini,Cooper Clubman,S,Hatchback,automatic,wmwzg3c51cty37657,ca,33.0,32407.0,blue,beige,bmw mini financial services,16950.0,19000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1394,2012,mercedes-benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb2ca657803,ca,38.0,48020.0,white,beige,elad motors,20300.0,20250.0,Tue Dec 30 2014 00:00:00 GMT-0800 (PST)
1395,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4cm622002,ca,24.0,40700.0,black,black,nissan infiniti lt,21100.0,20750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1396,2012,infiniti,M,M35h,Sedan,automatic,jn1ey1ap8cm910589,ca,44.0,45538.0,white,gray,nissan infiniti lt,24700.0,29250.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
1397,2012,jaguar,XK,Base,Coupe,automatic,sajwa4fb2clb47841,ca,21.0,9708.0,black,black,jpmorgan chase bank n.a.,48500.0,43200.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1398,2012,mercedes-benz,E-Class,E350,Convertible,automatic,wddkk5kf8cf165819,ca,35.0,43642.0,white,black,the hertz corporation,30000.0,27900.0,Wed Jan 07 2015 12:30:00 GMT-0800 (PST)
1399,2012,infiniti,G Sedan,G37 Journey,G Sedan,manual,jn1cv6ap2cm627697,ca,35.0,25896.0,black,black,nissan infiniti lt,22000.0,25250.0,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
1400,2012,mini,Cooper,Base,Hatchback,manual,wmwsu3c53ct185814,ca,38.0,34689.0,red,gray,bmw mini financial services,12800.0,11700.0,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
1401,2012,mercedes-benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hbxcr216065,ca,28.0,9628.0,silver,black,mercedes-benz financial services,23800.0,22500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1402,2012,mini,Cooper,S,Hatchback,automatic,wmwsv3c52ct385841,ca,35.0,39614.0,blue,tan,bmw mini financial services,15500.0,16250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1403,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4cm931985,ca,38.0,19479.0,black,gray,nissan infiniti lt,22900.0,21250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1404,2012,infiniti,M,M37,Sedan,automatic,jn1by1ap5cm332129,ca,45.0,26668.0,gray,black,nissan infiniti lt,28200.0,27250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1405,2012,jaguar,XF,Portfolio,Sedan,automatic,sajwa0hb0cls24919,ca,39.0,37908.0,black,brown,jpmorgan chase bank n.a.,29900.0,30500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1406,2012,infiniti,M,M37,Sedan,automatic,jn1by1ap1cm332208,ca,41.0,42871.0,blue,beige,nissan infiniti lt,25600.0,24000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1407,2012,mazda,CX-9,Touring,SUV,automatic,jm3tb3cvxc0358928,ca,42.0,21215.0,black,black,jpmorgan chase bank n.a.,22000.0,23750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1408,2012,infiniti,M,M37,Sedan,automatic,jn1by1ap7cm333976,ca,42.0,31762.0,white,black,nissan infiniti lt,26600.0,26500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
1409,2012,kia,Sportage,EX,SUV,automatic,kndpc3a25c7335550,ca,41.0,28510.0,black,gray,remarketing by ge/manheim southern california,16700.0,13700.0,Fri Dec 26 2014 15:00:00 GMT-0800 (PST)
1410,2012,mercedes-benz,E-Class,E350,Coupe,automatic,wddkj5kb7cf139695,ca,4.0,28993.0,white,gray,mercedes-benz usa,29500.0,25500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
1411,2012,infiniti,M,M37,Sedan,automatic,jn1by1ap1cm331995,ca,41.0,30146.0,gray,gray,nissan infiniti lt,27300.0,26750.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
1412,2012,mini,Cooper,Base,Hatchback,manual,wmwsu3c52ct367469,ca,41.0,17030.0,white,black,bmw mini financial services,15050.0,14750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1413,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c53ct255652,ca,43.0,18776.0,blue,black,bmw mini financial services,14900.0,13500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1414,2012,mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ug0c1554005,ca,43.0,17925.0,gray,black,jpmorgan chase bank n.a.,10350.0,13500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1415,2012,kia,Sorento,LX,SUV,automatic,5xykt3a64cg309425,ca,48.0,53444.0,white,beige,kia motors america  inc,12550.0,14500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1416,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c57ct259784,ca,38.0,42571.0,green,black,bmw mini financial services,13000.0,13500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1417,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c52ct261510,ca,44.0,19915.0,blue,black,bmw mini financial services,14800.0,16000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1418,2012,mercedes-benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hbxca673179,ca,35.0,33699.0,white,black,mercedes-benz financial services,21700.0,21250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1419,2012,kia,Forte,SX,Sedan,automatic,knafw4a3xc5550402,ca,2.0,18518.0,black,black,remarketing by ge/southern california financial,11650.0,10250.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
1420,2012,land rover,Range Rover,HSE,SUV,automatic,salme1d45ca360653,ca,36.0,56169.0,black,black,us bank,41900.0,39500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
1421,2012,jaguar,XF,Portfolio,Sedan,automatic,sajwa0hb5cls22759,ca,34.0,26967.0,blue,brown,jaguar land rover thousand oaks,33300.0,32250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1422,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap2cm933184,ca,42.0,22462.0,black,black,nissan infiniti lt,22600.0,23500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1423,2012,mini,Cooper Countryman,S ALL4,Wagon,automatic,wmwzc5c52cwl56077,ca,36.0,30311.0,green,beige,bmw mini financial services,20200.0,18500.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
1424,2012,infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek2cm422587,ca,34.0,37490.0,white,gray,nissan infiniti lt,21000.0,21000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1425,2012,kia,Sorento,LX,SUV,automatic,5xykt3a69cg304916,ca,36.0,32661.0,silver,black,kia motors finance,13950.0,15200.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
1426,2012,mini,Cooper,S,Convertible,automatic,wmwzp3c50ct250544,ca,37.0,26093.0,blue,black,bmw mini financial services,17900.0,18750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1427,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap0cm620196,ca,4.0,31565.0,black,black,nissan infiniti lt,21600.0,21750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1428,2012,kia,Optima,SX,Sedan,automatic,5xxgr4a62cg078250,ca,37.0,54430.0,gray,black,kia motors finance,16200.0,16200.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
1429,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c5xct256149,ca,37.0,29624.0,blue,black,bmw mini financial services,14050.0,14500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1430,2012,infiniti,M,M37,Sedan,automatic,jn1by1ap0cm332278,ca,41.0,31067.0,gray,black,nissan infiniti lt,27500.0,26250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1431,2012,jeep,Grand Cherokee,Laredo,SUV,automatic,1c4rjeag5cc212439,ca,39.0,92610.0,silver,beige,jpmorgan chase bank n.a.,14550.0,14500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
1432,2012,mini,Cooper,S,Hatchback,manual,wmwsv3c58cty26856,ca,4.0,25071.0,blue,black,bmw mini financial services,16100.0,16750.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
1433,2012,jaguar,XF,Base,Sedan,automatic,sajwa0fb3cls57383,ca,44.0,22339.0,white,beige,high bid trading co inc,29400.0,30500.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
1434,2012,kia,Forte,Koup EX,Koup,automatic,knafu6a20c5640974,ca,38.0,37022.0,white,black,kia motors finance,9750.0,11500.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
1435,2012,mercedes-benz,SL-Class,SL550,Convertible,automatic,wdbsk7baxcf169427,ca,45.0,19491.0,black,black,mercedes benz of bakersfield,57400.0,58750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1436,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c54ct258074,ca,36.0,42890.0,white,gray,bmw mini financial services,12950.0,13000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1437,2012,kia,Optima,SX,Sedan,automatic,5xxgr4a61cg029248,ca,1.0,47220.0,blue,black,kia motors finance,16750.0,12900.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
1438,2012,mini,Cooper,Base,Hatchback,automatic,wmwsu3c55ct261906,ca,46.0,20149.0,green,gray,bmw mini financial services,14800.0,14750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1439,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxcm622361,ca,4.0,26224.0,white,black,nissan infiniti lt,22200.0,20750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1440,2012,lexus,RX 350,Base,SUV,automatic,2t2zk1ba6cc078821,ca,3.0,36090.0,gray,black,remarketing by ge/chase lease remarketing co,27400.0,28500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST)
1441,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6apxcm624031,ca,44.0,26640.0,black,black,nissan infiniti lt,22100.0,22750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1442,2012,mercedes-benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb8ca631285,ca,35.0,34046.0,silver,black,mercedes-benz financial services,21700.0,21750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1443,2012,mazda,Mazda6,i Sport,Sedan,automatic,1yvhz8bh5c5m05184,ca,31.0,49626.0,black,black,jpmorgan chase bank n.a.,9600.0,10750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1444,2012,mini,Cooper,Base,Hatchback,manual,wmwsu3c52ct184718,ca,28.0,41755.0,red,black,bmw mini financial services,13000.0,12200.0,Tue Jan 06 2015 04:30:00 GMT-0800 (PST)
1445,2012,mercedes-benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb8ca613028,ca,29.0,20015.0,black,black,mercedes-benz financial services,22900.0,22000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1446,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap4cm621786,ca,44.0,52859.0,gray,black,nissan infiniti lt,19250.0,17500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1447,2012,mini,Cooper,Base,Convertible,automatic,wmwzn3c52ct134090,ca,38.0,41232.0,red,black,bmw mini financial services,14600.0,15250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1448,2012,kia,Soul,Base,Wagon,automatic,kndjt2a50c7391664,ca,34.0,51141.0,green,black,kia motors finance,8175.0,9800.0,Tue Dec 16 2014 12:00:00 GMT-0800 (PST)
1449,2012,jaguar,XJ,Base,Sedan,automatic,sajwa1cb1clv27432,ca,28.0,27533.0,blue,gray,jpmorgan chase bank n.a.,38500.0,35500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1450,2012,mazda,Mazda3,i Sport,Sedan,automatic,jm1bl1ugxc1528639,ca,37.0,48544.0,gray,black,galpin ford studio rentals,8800.0,11000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1451,2012,mercedes-benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb4ca658244,ca,36.0,41302.0,white,black,mercedes-benz usa,26900.0,23000.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
1452,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap6cm624785,ca,44.0,49338.0,white,gray,nissan infiniti lt,19650.0,22250.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1453,2012,mini,Cooper,Base,Convertible,automatic,wmwzn3c53ct133983,ca,36.0,36053.0,red,black,bmw mini financial services,15000.0,15000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1454,2012,mercedes-benz,E-Class,E350 Luxury,Sedan,automatic,wddhf5kb5ca575132,ca,41.0,32178.0,black,black,mercedes-benz financial services,28500.0,28500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1455,2012,mini,Cooper Coupe,S,Hatchback,automatic,wmwsx3c51ct154746,ca,46.0,19781.0,gray,gray,bmw mini financial services,16100.0,16500.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1456,2012,mazda,Mazda3,s Touring,Hatchback,automatic,jm1bl1l60c1505590,ca,24.0,33113.0,gray,black,jpmorgan chase bank n.a.,12250.0,14500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1457,2012,infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek2cm422640,ca,41.0,49037.0,gray,black,nissan infiniti lt,20100.0,20750.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
1458,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap1cm623267,ca,44.0,31659.0,white,gray,nissan infiniti lt,21600.0,20750.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
1459,2012,jaguar,XJ,Supercharged,Sedan,automatic,sajwa1ge9cmv34031,ca,38.0,63818.0,black,black,jpmorgan chase bank n.a.,39900.0,37000.0,Thu Jan 15 2015 04:30:00 GMT-0800 (PST)
1460,2012,lexus,RX 350,Base,SUV,automatic,2t2zk1ba0cc079964,ca,42.0,33845.0,silver,gray,desert auto trade,27600.0,29750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1461,2012,infiniti,G Coupe,G37,G Coupe,automatic,jn1cv6ek9cm420190,ca,38.0,43336.0,black,black,nissan infiniti lt,20600.0,19500.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
1462,2012,infiniti,M,M37,Sedan,automatic,jn1by1ap7cm331094,ca,29.0,47527.0,gray,tan,myrddin fleet services,24800.0,23750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
1463,2012,infiniti,G Sedan,G37 Journey,G Sedan,automatic,jn1cv6ap5cm623000,ca,41.0,17678.0,black,black,nissan infiniti lt,23100.0,22000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
