index,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,selling_price,sale_date
76,2014,chevrolet,Camaro,LT,Coupe,automatic,2g1fb1e37e9270877,ca,3.0,13606.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,21400.0,13000.0,Tue Jan 06 2015 13:00:00 GMT-0800 (PST)
77,2014,bmw,6 Series Gran Coupe,650i,Sedan,automatic,wba6b2c53ed128866,ca,29.0,37752.0,white,black,financial services remarketing (lease),62000.0,58000.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
78,2015,kia,Sorento,LX,SUV,automatic,5xyktca68fg570979,ca,44.0,9161.0,silver,black,kia motors america  inc,20800.0,22250.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
79,2015,kia,Sorento,LX,SUV,automatic,5xyktca65fg571619,ca,5.0,11001.0,white,black,kia motors america  inc,20700.0,22500.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
80,2014,buick,Enclave,Leather Group,SUV,automatic,5gakrbkd2ej294045,ca,1.0,14599.0,gray,black,enterprise vehicle exchange / tra / rental / tulsa,31000.0,24100.0,Tue Dec 30 2014 12:00:00 GMT-0800 (PST)
81,2014,bmw,M5,Base,Sedan,automatic,wbsfv9c54ed593085,ca,38.0,13386.0,white,black,the hertz corporation,67000.0,65000.0,Thu Dec 18 2014 12:30:00 GMT-0800 (PST)
82,2014,bmw,M5,Base,Sedan,automatic,wbsfv9c55ed593080,ca,41.0,15161.0,white,black,the hertz corporation,66000.0,65801.0,Tue Dec 23 2014 12:30:00 GMT-0800 (PST)
83,2014,audi,TTS,quattro,Coupe,automatic,trub1afk9e1007640,ca,28.0,3996.0,silver,black,fratelli investment group,41400.0,34250.0,Thu Dec 18 2014 12:00:00 GMT-0800 (PST)
84,2015,hyundai,Elantra,SE,Sedan,automatic,5npdh4ae2fh566023,ca,2.0,10551.0,red,gray,enterprise vehicle exchange / tra / rental / tulsa,13850.0,10600.0,Tue Jan 13 2015 13:00:00 GMT-0800 (PST)
85,2014,bmw,4 Series,428i SULEV,Coupe,automatic,wba3n7c55ef719079,ca,37.0,18152.0,white,black,street smartz auto sales corporation,31000.0,39750.0,Tue Dec 16 2014 12:30:00 GMT-0800 (PST)
